OTUs	"BKF01"	"BKF02"	"BKF03"	"BKF13"	"BKF14"	"BKF15"
"OTU_1"	411	406	469	299	232	534
"OTU_2"	313	388	322	245	148	249
"OTU_3"	470	394	172	169	76	351
"OTU_4"	0	0	0	384	266	471
"OTU_5"	0	0	0	346	268	460
"OTU_6"	225	210	180	120	80	153
"OTU_7"	0	0	0	417	64	463
"OTU_8"	165	97	60	195	163	226
"OTU_9"	199	217	160	118	83	126
"OTU_10"	69	165	106	166	122	254
"OTU_11"	151	160	170	111	62	170
"OTU_12"	197	297	191	0	0	0
"OTU_13"	175	307	200	0	0	0
"OTU_14"	167	275	202	0	0	0
"OTU_15"	0	0	0	207	143	277
"OTU_16"	34	36	0	165	114	272
"OTU_17"	310	178	110	0	0	0
"OTU_18"	161	261	164	0	0	0
"OTU_19"	0	0	7	0	39	534
"OTU_20"	0	0	0	210	123	211
"OTU_21"	0	0	0	185	82	218
"OTU_22"	0	0	0	125	64	238
"OTU_23"	83	191	11	61	33	31
"OTU_24"	98	43	55	63	0	150
"OTU_25"	0	0	0	120	40	234
"OTU_26"	71	82	84	45	29	66
"OTU_27"	0	29	19	0	31	298
"OTU_28"	0	0	0	123	93	122
"OTU_29"	157	83	94	0	0	0
"OTU_30"	105	122	72	0	0	0
"OTU_31"	90	128	81	0	0	0
"OTU_32"	103	23	40	63	14	55
"OTU_33"	0	0	0	60	12	211
"OTU_34"	0	0	0	101	58	117
"OTU_35"	23	3	0	43	11	190
"OTU_36"	0	0	0	102	49	111
"OTU_37"	0	0	0	80	56	125
"OTU_38"	62	97	71	10	2	13
"OTU_39"	36	34	25	24	10	120
"OTU_40"	39	47	15	56	0	88
"OTU_41"	51	74	23	27	13	53
"OTU_42"	0	0	15	0	27	199
"OTU_43"	56	40	38	27	17	51
"OTU_44"	157	0	0	35	10	25
"OTU_45"	48	173	0	0	0	0
"OTU_46"	0	0	0	0	87	130
"OTU_47"	179	14	0	0	11	0
"OTU_48"	0	0	0	49	70	80
"OTU_49"	87	17	0	68	0	16
"OTU_50"	108	47	30	0	0	0
"OTU_51"	85	68	0	0	5	24
"OTU_52"	55	67	54	0	0	0
"OTU_53"	0	0	0	0	0	170
"OTU_54"	70	46	0	17	0	33
"OTU_55"	0	0	0	46	60	59
"OTU_56"	67	26	71	0	0	0
"OTU_57"	77	69	15	0	0	0
"OTU_58"	59	47	54	0	0	0
"OTU_59"	0	109	50	0	0	0
"OTU_60"	0	0	158	0	0	0
"OTU_61"	0	0	18	51	34	47
"OTU_62"	15	0	6	40	28	56
"OTU_63"	0	0	0	51	31	61
"OTU_64"	0	0	0	35	47	60
"OTU_65"	57	53	30	0	0	0
"OTU_66"	27	0	13	63	0	36
"OTU_67"	0	0	0	62	0	76
"OTU_68"	0	0	0	45	32	59
"OTU_69"	9	10	11	22	8	72
"OTU_70"	55	38	35	0	0	0
"OTU_71"	8	2	8	86	5	19
"OTU_72"	27	95	0	0	0	0
"OTU_73"	31	0	32	0	37	20
"OTU_74"	0	0	0	56	9	55
"OTU_75"	50	37	32	0	0	0
"OTU_76"	39	46	34	0	0	0
"OTU_77"	75	38	0	0	0	0
"OTU_78"	49	43	18	0	0	0
"OTU_79"	56	15	19	6	5	5
"OTU_80"	31	43	30	0	0	0
"OTU_81"	21	44	39	0	0	0
"OTU_82"	5	6	10	27	33	23
"OTU_83"	0	0	0	25	0	79
"OTU_84"	0	0	0	19	0	84
"OTU_85"	0	0	0	14	26	59
"OTU_86"	16	23	8	24	12	13
"OTU_87"	0	0	0	31	9	56
"OTU_88"	0	0	0	94	0	0
"OTU_89"	0	0	0	31	0	59
"OTU_90"	19	13	50	0	0	7
"OTU_91"	48	16	0	8	7	8
"OTU_92"	0	0	0	18	30	39
"OTU_93"	0	0	0	27	0	58
"OTU_94"	0	0	0	21	18	44
"OTU_95"	27	16	16	0	0	21
"OTU_96"	24	15	4	5	13	19
"OTU_97"	26	31	19	0	0	0
"OTU_98"	34	29	12	0	0	0
"OTU_99"	0	0	75	0	0	0
"OTU_100"	30	22	12	10	0	0
"OTU_101"	21	34	19	0	0	0
"OTU_102"	0	32	7	0	0	29
"OTU_103"	0	0	0	0	0	68
"OTU_104"	0	0	0	0	0	68
"OTU_105"	9	0	14	17	0	27
"OTU_106"	0	38	28	0	0	0
"OTU_107"	0	0	0	32	0	34
"OTU_108"	0	0	0	0	0	66
"OTU_109"	34	30	0	0	0	0
"OTU_110"	6	0	0	23	0	34
"OTU_111"	0	0	0	63	0	0
"OTU_112"	0	0	0	12	0	51
"OTU_113"	0	0	0	0	11	52
"OTU_114"	0	0	0	0	0	63
"OTU_115"	0	0	0	61	0	0
"OTU_116"	0	0	0	28	0	32
"OTU_117"	0	0	0	10	0	50
"OTU_118"	0	0	0	0	0	59
"OTU_119"	0	12	0	0	30	16
"OTU_120"	0	5	0	18	5	30
"OTU_121"	0	0	0	0	0	58
"OTU_122"	0	0	0	0	0	57
"OTU_123"	0	0	0	0	0	57
"OTU_124"	21	33	2	0	0	0
"OTU_125"	10	17	29	0	0	0
"OTU_126"	0	30	26	0	0	0
"OTU_127"	0	0	10	0	0	46
"OTU_128"	0	0	0	30	0	25
"OTU_129"	0	0	0	0	32	23
"OTU_130"	27	27	0	0	0	0
"OTU_131"	0	17	22	10	0	5
"OTU_132"	5	0	0	14	0	34
"OTU_133"	0	0	0	10	0	43
"OTU_134"	0	0	0	0	0	53
"OTU_135"	11	8	0	10	8	15
"OTU_136"	0	0	0	28	0	24
"OTU_137"	0	0	0	28	0	24
