id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000001630	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.00	21.22	0.00
ENSG00000002834	18107.99	19943.94	19480.73	16688.86	11468.35	25380.75	25531.70	6908.48	1392.67	19009.15	12868.90	8726.15	8844.10	9536.82	15575.65	6247.11	7130.97	9967.39	4307.43	13905.67
ENSG00000003402	0.90	0.00	0.93	1.70	0.00	1.49	3.56	0.00	0.77	2.84	0.00	2.22	1.76	4.63	0.00	1.96	1.58	4.70	3.72	7.24
ENSG00000003436	0.00	0.00	0.00	1.09	1.03	0.00	0.00	0.00	0.00	3.73	1.07	0.00	1.00	0.00	1.02	0.00	0.00	0.00	1.01	0.00
ENSG00000003509	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.30
ENSG00000004534	0.00	0.00	0.00	0.00	0.00	1.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000004766	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.42	0.00
ENSG00000004961	1946.90	1780.11	2274.11	1157.46	1729.10	590.15	825.29	3184.76	827.57	569.83	3387.97	794.45	1208.91	893.74	3009.45	1703.64	864.87	1267.56	1546.54	1537.29
ENSG00000005073	0.00	0.00	0.00	0.00	8.24	0.00	12.39	900.16	2362.15	13.29	24.76	665.33	0.00	0.00	63.07	7.20	286.31	166.41	81.43	14.25
ENSG00000005102	0.00	0.00	0.00	0.00	4.14	0.00	0.00	150.14	3.61	28.38	240.95	130.84	0.00	0.00	0.00	1272.14	74.91	381.60	49.27	40.07
ENSG00000005421	0.00	0.00	0.00	0.00	10.12	259.10	15.32	73.97	19.55	20.59	0.00	26.11	200.66	9.34	130.47	2.95	86.13	0.00	87.06	639.86
ENSG00000005801	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.85
ENSG00000005884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.67	0.00	0.00	0.00
ENSG00000005893	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.96	0.00
ENSG00000006015	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.58	0.00	17.53	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.26	0.00	0.00	0.00	22.59	0.00	0.00	0.00	0.00	0.00	0.00	33.49
ENSG00000006210	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.36	0.00	0.00	0.00	0.00	0.00
ENSG00000006432	0.00	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51
ENSG00000006468	59.69	48.21	101.82	0.00	36.54	52.38	41.02	141.32	154.57	14.68	2.45	2.35	12.24	206.53	49.39	340.89	103.94	1.37	166.28	508.33
ENSG00000006534	0.00	0.00	7.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006555	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006607	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006634	1372.25	1072.54	1496.53	1473.14	2086.31	1938.87	1079.23	6319.68	2109.81	2014.31	2316.48	2548.09	2257.14	1666.73	1365.36	2397.10	2739.90	1070.79	1743.89	1417.69
ENSG00000006638	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.70	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006756	43.05	20.04	7.30	0.00	8.71	0.00	0.00	0.00	0.00	0.00	0.00	4.06	0.00	0.00	0.00	0.00	12.46	4.41	8.20	6.02
ENSG00000006831	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00
ENSG00000007392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007908	0.00	0.00	20.31	0.00	0.00	0.00	0.00	70.37	15.89	16.00	24.14	98.37	64.05	16.76	0.00	1975.78	7.16	2.45	2.36	119.38
ENSG00000008056	0.00	0.00	0.00	0.00	0.00	2.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008283	0.00	4.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000008710	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.24	0.00
ENSG00000008838	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.74
ENSG00000008988	0.00	0.00	0.00	0.00	0.00	4.46	0.00	12.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	36.93	0.00	0.00
ENSG00000009335	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.22	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000009413	5.67	0.00	0.00	0.00	13.79	3.23	0.00	12.50	14.69	27.18	3.45	182.77	19.31	66.75	16.29	24.39	8.89	0.00	86.79	9.55
ENSG00000009765	0.00	0.00	13.54	0.00	8.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.62	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000009950	0.00	0.00	0.00	0.00	4.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.85	0.00	0.00	0.00
ENSG00000010404	0.00	0.00	0.00	0.00	2.16	0.00	3.48	0.79	0.00	2.82	0.00	8.00	0.00	1.50	1.03	3.77	0.00	0.00	0.00	3.00
ENSG00000010539	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.70	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000010610	4.49	69.81	162.41	22.45	169.81	4.98	35.56	4991.75	242.63	138.17	221.30	761.36	83.79	453.82	31.41	0.00	2349.32	0.00	37.60	81.54
ENSG00000010704	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00
ENSG00000011243	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.31
ENSG00000011275	0.00	16.91	0.00	11.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000011295	0.00	0.00	0.00	2.86	0.00	5.05	0.00	0.00	0.00	2.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000011454	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.78
ENSG00000011478	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.62	0.00	0.00	0.00	0.00	0.00	4.73	0.00	0.00	5.01	0.00	0.00
ENSG00000011638	0.00	0.00	0.00	0.00	6.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.90	0.00	0.00	0.00	4.66	0.00
ENSG00000012232	0.00	0.00	0.00	75.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000012779	31.25	0.00	6.76	60.71	979.24	0.00	337.48	250.10	91.88	121.93	221.68	82.41	701.75	0.00	3.86	0.00	473.50	26.26	5155.98	631.05
